tconst,primaryTitle,startYear,genres,averageRating,numVotes,posterUrl
tt0315677,HypaSpace,2002,Documentary,5.4,126.0,
tt0316559,Sean Connery Close Up,1997,"Biography,Documentary",6.3,101.0,
tt0324947,2002 MTV Movie Awards,2002,Unknown,6.4,641.0,
tt0325805,Matchstick Men,2003,"Comedy,Crime,Drama",7.3,141823.0,https://image.tmdb.org/t/p/w500/y5hBAMrOWUusHjnWUGLpFWPtPAP.jpg
tt0366625,Spaghetti Requiem,2001,Documentary,7.6,30.0,
tt0368891,National Treasure,2004,"Action,Adventure,Mystery",6.9,366025.0,https://image.tmdb.org/t/p/w500/pxL6E4GBOPUG6CdkO9cUQN5VMwI.jpg
tt0370423,The Code Talkers: A Secret Code of Honor,2003,"Documentary,Short",6.7,58.0,
tt0372592,Valley Girl: 20 Totally Tubular Years Later,2003,"Documentary,Short",6.9,50.0,
tt0372593,Valley Girl: In Conversation - Nicolas Cage and Martha Coolidge,2003,"Documentary,Short",7.0,38.0,
tt0375568,Astro Boy,2009,"Action,Adventure,Animation",6.2,41288.0,https://image.tmdb.org/t/p/w500/jcM6F9Mivs4WZYE3N8MkLYx2ywP.jpg
tt0376456,John Travolta,2003,"Biography,Documentary,History",7.5,183.0,
tt0384680,The Weather Man,2005,"Comedy,Drama",6.6,84721.0,https://image.tmdb.org/t/p/w500/oQilVzOxLPxvBn9hAuvGpKTpONM.jpg
tt0390573,Tricks of the Trade: Making 'Matchstick Men',2004,Documentary,7.5,171.0,
tt0399295,Lord of War,2005,"Crime,Drama",7.6,347791.0,https://image.tmdb.org/t/p/w500/3MGQD4yXokufNlW1AyRXdiy7ytP.jpg
tt0407905,John Travolta: The Inside Story,2004,Documentary,6.4,74.0,https://image.tmdb.org/t/p/w500/kMqt08dSmcuHvUMYR2o4bkXvZpp.jpg
tt0417797,Vanessa Marcil,2003,"Biography,Documentary",3.9,89.0,
tt0429589,The Ant Bully,2006,"Adventure,Animation,Comedy",5.8,42995.0,https://image.tmdb.org/t/p/w500/oFuqX0inTvbA1XAFv2x3CQnI65m.jpg
tt0433591,Making Angels,1998,"Documentary,Short",5.7,34.0,
tt0435705,Next,2007,"Action,Sci-Fi,Thriller",6.2,170226.0,https://image.tmdb.org/t/p/w500/td5uOBW41ib1KGz3g1Kc33BdFyj.jpg
tt0439680,Lisa Marie Presley,2003,"Biography,Documentary",7.6,26.0,
tt0445772,Tsunami Aid: A Concert of Hope,2005,Music,6.3,183.0,
tt0446304,The Cult: Music Without Fear,2002,Music,8.7,34.0,https://image.tmdb.org/t/p/w500/2CR8fZiLay95MS3LExhuaa4Aedb.jpg
tt0448011,Knowing,2009,"Mystery,Sci-Fi,Thriller",6.2,255124.0,https://image.tmdb.org/t/p/w500/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg
tt0450345,The Wicker Man,2006,"Horror,Mystery,Thriller",3.8,73189.0,https://image.tmdb.org/t/p/w500/xsHrmfgDcEk5fGhSiieKvrDuofq.jpg
tt0461452,2nd Annual Screen Actors Guild Awards,1996,Unknown,5.2,73.0,
tt0465234,National Treasure: Book of Secrets,2007,"Action,Adventure,Mystery",6.5,260721.0,https://image.tmdb.org/t/p/w500/xxoIBbvmTj1ZttzV439jAvoovTw.jpg
tt0468519,'National Treasure' on Location,2005,"Documentary,Short",7.1,67.0,
tt0469641,World Trade Center,2006,"Drama,History,Thriller",6.0,89445.0,https://image.tmdb.org/t/p/w500/bfTiVc8kxq8uRXeblV3Ct35APGu.jpg
tt0471480,8mm,1999,"Documentary,Short",9.0,17.0,https://image.tmdb.org/t/p/w500/mhr9xRpjOBqlBjgDwtiOx6FsLvV.jpg
tt0479997,Season of the Witch,2011,"Action,Adventure,Fantasy",5.4,100364.0,https://image.tmdb.org/t/p/w500/4nQBaHV58pIPFlLqhuf3vQur8og.jpg
tt0481499,The Croods,2013,"Adventure,Animation,Comedy",7.1,241064.0,https://image.tmdb.org/t/p/w500/27zvjVOtOi5ped1HSlJKNsKXkFH.jpg
tt0489239,National Treasure Uncovered,2004,Unknown,7.9,35.0,
tt0495875,On Location in Tulsa: The Making of 'Rumble Fish',2005,Short,6.0,36.0,
tt0585300,Episode dated 17 December 2004,2004,"News,Talk-Show",,,
tt0606641,Episode dated 1 July 1996,1996,"Comedy,Talk-Show",8.2,15.0,
tt0607448,Chris Rock & Nicolas Cage,2002,"Comedy,Talk-Show",,,
tt0611342,Nicolas Cage,2003,Talk-Show,8.0,32.0,
tt0628764,Episode dated 24 October 2005,2005,"Comedy,Music,Talk-Show",,,
tt0633682,Episode dated 17 November 2004,2004,Talk-Show,,,
tt0633898,Episode dated 27 October 2005,2005,Talk-Show,,,
