tconst,primaryTitle,startYear,genres,averageRating,numVotes,actors,posterUrl
tt23468450,Longlegs,2024,"Crime,Horror,Thriller",6.6,182336.0,"Nicolas Cage, Blair Underwood, Dakota Daulby, Jason William Day",https://image.tmdb.org/t/p/w500/1EwNyiiNFd863H4e8nWEzutnZD7.jpg
tt2382396,Joe,2013,"Crime,Drama,Thriller",6.8,52375.0,"Nicolas Cage, Tye Sheridan, Gary Poulter, Ronnie Gene Blevins, Brian Mays, Aj Wilson McPhaul",https://image.tmdb.org/t/p/w500/sTSjiNbGWcj8wATW28MTwrDklsC.jpg
tt2401807,Rage,2014,"Action,Thriller",5.0,25965.0,"Nicolas Cage, Max Ryan, Michael McGrady, Peter Stormare, Pasha D. Lychnikoff, Patrice Cols, Weston Cage, Max Fowler",https://image.tmdb.org/t/p/w500/A93ISaha1PtIlI53y3CnCAWWrm0.jpg
tt2467046,Left Behind,2014,"Action,Fantasy,Sci-Fi",3.1,43572.0,"Nicolas Cage, Chad Michael Murray, Gary Grubbs, Quinton Aaron, Martin Klebba",https://image.tmdb.org/t/p/w500/b9Q2WR62yB5Aq0hd6kyRFS9cc3Y.jpg
tt24818230,Madden,Unknown,Unknown,,,Nicolas Cage,https://image.tmdb.org/t/p/w500/92Tb7o4OsRgxuOvK3ROs9T6QE24.jpg
tt24850708,Gunslingers,2025,"Action,Drama,Western",,,"Stephen Dorff, Nicolas Cage, Randall Batinkoff, Cooper Barnes, Tzi Ma, Jeremy Kent Jackson, Costas Mandylor, William McNamara",https://image.tmdb.org/t/p/w500/O7REXWPANWXvX2jhQydHjAq2DV.jpg
tt27706987,Lords of War,Unknown,"Crime,Thriller",,,"Nicolas Cage, Bill Skarsgård",https://image.tmdb.org/t/p/w500/lW6VN5PyNdiix9GxG8Gf60ZmvY3.jpg
tt27813235,The Surfer,2024,Thriller,6.6,637.0,"Nicolas Cage, Finn Little, Rahel Romahn, Michael Abercromby, Alexander Bertrand, Julian McMahon, Greg McNeill, Rory O'Keeffe, Dean McAskil",https://image.tmdb.org/t/p/w500/zYClQYdiGADZ9rFKx4PjfnUO4XQ.jpg
tt2850386,The Croods: A New Age,2020,"Adventure,Animation,Comedy",6.9,56879.0,"Nicolas Cage, Ryan Reynolds, Clark Duke, Peter Dinklage, Chris Sanders",https://image.tmdb.org/t/p/w500/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg
tt30460310,Spider-Noir,Unknown,"Action,Adventure,Crime",,,"Nicolas Cage, Brendan Gleeson, Jack Huston, Lamorne Morris, Abraham Popoola, Craig Henningsen, Albert Malafronte, George Todd McLachlan",
tt31172323,The Saturn Awards,2024,Sci-Fi,,,"Nicolas Cage, Keanu Reeves",
tt31632368,Episode #1.1,Unknown,"Action,Adventure,Crime",,,"Nicolas Cage, Brendan Gleeson, Jack Huston, George Todd McLachlan, Lamorne Morris, Abraham Popoola",
